
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.780
  alpha =   -0.137    CLtot =    0.358
  beta  =    0.000

  Sref  =   139.42500
  Bref  =    34.10000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.178473         0.357940E-01
    0.0323  0.169836         0.329743E-01
    0.0968  0.152682         0.277525E-01
    0.1613  0.135933         0.230797E-01
    0.2258  0.119900         0.189376E-01
    0.2903  0.104873         0.152984E-01
    0.3602  0.898726E-01     0.118826E-01
    0.4355  0.749013E-01     0.877015E-02
    0.5108  0.608904E-01     0.620517E-02
    0.5860  0.478945E-01     0.415032E-02
    0.6613  0.359941E-01     0.256574E-02
    0.7366  0.252758E-01     0.140841E-02
    0.8118  0.158327E-01     0.631909E-03
    0.8871  0.778067E-02     0.185873E-03
    0.9624  0.137305E-02     0.129678E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.178473        -0.357940E-01
   -0.0323  0.169836        -0.329743E-01
   -0.0968  0.152682        -0.277525E-01
   -0.1613  0.135933        -0.230797E-01
   -0.2258  0.119900        -0.189376E-01
   -0.2903  0.104873        -0.152984E-01
   -0.3602  0.898725E-01    -0.118826E-01
   -0.4355  0.749013E-01    -0.877015E-02
   -0.5108  0.608904E-01    -0.620517E-02
   -0.5860  0.478945E-01    -0.415032E-02
   -0.6613  0.359941E-01    -0.256574E-02
   -0.7366  0.252758E-01    -0.140841E-02
   -0.8118  0.158327E-01    -0.631908E-03
   -0.8871  0.778067E-02    -0.185873E-03
   -0.9624  0.137305E-02    -0.129678E-04
   -1.0000   0.00000          0.00000    
